date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
4/5/07,26.53123105,0,25.2014652,22.31637544,0,0,0,0,0,23.83536665,0,61.95971386,0,0,29.59221848,0,0,,24.35351882,0,19.21875,0,0,0,0,4/5/07,37.73
4/6/07,30.51091571,84,0,25.66383176,0,17.46067416,0,0,0,39.72561108,22.66513761,28.05722892,0,0,22.19416386,24.84,0,,26.96282441,0,31.83105469,0,0,0,0,4/6/07,45.34
4/7/07,41.12340813,0,0,35.70620071,0,0,0,21.33333333,0,25.42439109,31.16456422,0,36.85846154,34.88613861,61.03395062,0,0,,0,37.19409283,29.42871094,0,0,0,32.24242424,4/7/07,43.93
4/8/07,84.89993936,0,0,0,0,0,0,0,0,27.01341553,32.10894495,0,0,0,48.08735503,35.97517241,0,,0,39.78902954,31.23046875,0,0,0,0,4/8/07,48.39
4/9/07,0,0,0,0,0,10.47640449,0,0,0,31.78048886,17.94323395,33.90248494,0,0,26.817948,0,0,,22.61398176,0,17.41699219,0,0,16.60593441,0,4/9/07,41.71
4/10/07,23.87810794,0,0,20.0847379,0,10.47640449,17.8125,0,0,20.65731776,17.94323395,44.42394578,0,0,43.46357089,19.70068966,0,,0,0,16.81640625,0,0,0,0,4/10/07,56.28
4/11/07,22.55154639,22.90909091,0,39.05365703,0,0,0,14.66666667,0,20.65731776,16.99885321,32.73343373,0,0,17.57037972,0,0,,32.18143559,21.62447257,33.6328125,0,0,16.03331598,0,4/11/07,41.09
4/12/07,23.87810794,0,22.68131868,0,0,20.95280899,0,0,0,15.89024443,17.94323395,88.84789157,0,20.0859586,61.03395062,19.70068966,0,,21.74421323,21.62447257,33.6328125,0,0,16.03331598,0,4/12/07,46.16
4/13/07,51.73590055,0,23.94139194,21.20055667,0,19.20674157,0,0,0,25.42439109,39.66399083,24.5500753,0,0,57.33492331,21.4137931,0,,0,0,18.61816406,0,0,0,0,4/13/07,47.77
4/14/07,38.47028502,0,36.54212454,32.35874439,0,17.46067416,0,0,0,34.95853775,43.44151376,36.24058735,0,0,28.66746165,47.96689655,0,,0,0,55.25390625,0,0,0,0,4/14/07,40.39
4/15/07,0,0,0,30.12710685,0,26.19101124,0,0,0,44.49268441,26.44266055,81.83358434,0,29.60036004,38.83978676,29.97931034,0,,0,0,25.22460938,0,0,0,0,4/15/07,32.6
4/16/07,0,0,0,29.01128808,0,0,0,0,0,0,0,64.29781627,0,0,34.21600262,0,0,,0,0,0,0,0,16.03331598,0,4/16/07,54.85
4/17/07,47.75621589,0,0,20.0847379,0,10.47640449,0,0,0,34.95853775,17.94323395,43.25489458,0,0,25.89319117,19.70068966,0,,0,21.62447257,34.23339844,0,0,0,0,4/17/07,52.7
4/18/07,47.75621589,0,22.68131868,0,0,15.71460674,0,0,0,23.83536665,27.38704128,44.42394578,0,0,35.14075945,29.12275862,0,,20.8744447,0,16.81640625,0,0,0,0,4/18/07,54.19
4/19/07,23.87810794,0,22.68131868,40.1694758,0,22.6988764,17.8125,0,0,12.71219555,27.38704128,0,0,20.0859586,61.95870744,60.81517241,0,,0,0,34.23339844,0,0,16.60593441,0,4/19/07,62.55
